participant_id,group,question_id,question,answer,icon,vibration,duration,font,color,score
EC14,control,Q08,what_day_and_time_was_lecture,I don’t remember,NA,NA,NA,NA,NA,0
EC14,control,Q09,what_place_was_lecture,Discovery center,NA,NA,NA,NA,NA,1
EC14,control,Q10,what_was_the_subject_of_the_email_from_susan,Seminar,NA,NA,NA,NA,NA,1
EC14,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Ian’s pizza,NA,NA,NA,NA,NA,1
EC14,control,Q12,what_was_the_remaining_battery_power,5%,NA,NA,NA,NA,NA,1
EC14,control,Q13,what_was_the_weather_in_chicago,46 and partly cloudy,NA,NA,NA,NA,NA,1
EC14,control,Q14,what_was_the_temperature_in_chicago,46F,NA,NA,NA,NA,NA,1
EC2,experiment,Q01,what_day_and_time_was_dinner,7:00 PM,1,0,0,1,0,0
EC2,experiment,Q02,what_place_was_dinner,Mary,1,0,0,1,0,0
EC2,experiment,Q03,what_was_the_message_from_mary,Dinner at 7:00,0,1,0,0,1,0
EC2,experiment,Q04,what_item_did_you_order_from_amazon,Shoes,1,0,1,1,0,0
EC2,experiment,Q05,what_was_the_number_of_missed_calls,3,0,1,0,0,0,1
EC2,experiment,Q06,what_was_the_sport_for_the_score_update,Football,0,1,0,1,0,1
EC2,experiment,Q07,what_was_the_score_in_the_game,Jul-00,0,1,0,1,0,0
EC2,control,Q08,what_day_and_time_was_lecture,Tuesday 2 pm,NA,NA,NA,NA,NA,0
EC2,control,Q09,what_place_was_lecture,Engineering Hall,NA,NA,NA,NA,NA,0
EC2,control,Q10,what_was_the_subject_of_the_email_from_susan,Term paper,NA,NA,NA,NA,NA,0
EC2,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Chicken wrap,NA,NA,NA,NA,NA,0
EC2,control,Q12,what_was_the_remaining_battery_power,15%,NA,NA,NA,NA,NA,0
EC2,control,Q13,what_was_the_weather_in_chicago,Cloudy rain,NA,NA,NA,NA,NA,1
EC2,control,Q14,what_was_the_temperature_in_chicago,45 degrees,NA,NA,NA,NA,NA,1
EC3,experiment,Q01,what_day_and_time_was_dinner,6:00 PM,1,1,1,0,0,1
EC3,experiment,Q02,what_place_was_dinner,Sushi place,1,1,1,0,0,1
EC3,experiment,Q03,what_was_the_message_from_mary,She’s here,0,0,0,0,1,1
EC3,experiment,Q04,what_item_did_you_order_from_amazon,A package,0,1,1,0,1,0
EC3,experiment,Q05,what_was_the_number_of_missed_calls,3,0,1,1,1,1,1
EC3,experiment,Q06,what_was_the_sport_for_the_score_update,Basketball,1,1,1,0,1,0
EC3,experiment,Q07,what_was_the_score_in_the_game,No clue,1,1,1,0,1,0
EC3,control,Q08,what_day_and_time_was_lecture,Tuesday,NA,NA,NA,NA,NA,0
EC3,control,Q09,what_place_was_lecture,Not sure,NA,NA,NA,NA,NA,0
EC3,control,Q10,what_was_the_subject_of_the_email_from_susan,Not sure,NA,NA,NA,NA,NA,0
EC3,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Not sure,NA,NA,NA,NA,NA,0
EC3,control,Q12,what_was_the_remaining_battery_power,8 percent,NA,NA,NA,NA,NA,0
EC3,control,Q13,what_was_the_weather_in_chicago,Sunny,NA,NA,NA,NA,NA,0
EC3,control,Q14,what_was_the_temperature_in_chicago,Not sure,NA,NA,NA,NA,NA,0
EC4,experiment,Q01,what_day_and_time_was_dinner,Wednesday 18:00,1,0,0,0,1,1
EC4,experiment,Q02,what_place_was_dinner,Fin,1,0,0,0,1,1
EC4,experiment,Q03,what_was_the_message_from_mary,I am here,1,0,0,1,0,1
EC4,experiment,Q04,what_item_did_you_order_from_amazon,Monitor,0,0,1,0,1,1
EC4,experiment,Q05,what_was_the_number_of_missed_calls,"No idea,  but I know there is a missed call",1,1,0,1,1,0
EC4,experiment,Q06,what_was_the_sport_for_the_score_update,Football,0,0,0,0,1,1
EC4,experiment,Q07,what_was_the_score_in_the_game,16-16,0,0,0,0,1,1
EC4,control,Q08,what_day_and_time_was_lecture,Wednesday 18:00,NA,NA,NA,NA,NA,0
EC4,control,Q09,what_place_was_lecture,Discovery building,NA,NA,NA,NA,NA,1
EC4,control,Q10,what_was_the_subject_of_the_email_from_susan,Science seminar,NA,NA,NA,NA,NA,1
EC4,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Ian’s pizza,NA,NA,NA,NA,NA,1
EC4,control,Q12,what_was_the_remaining_battery_power,5%,NA,NA,NA,NA,NA,1
EC4,control,Q13,what_was_the_weather_in_chicago,Partly cloudy,NA,NA,NA,NA,NA,1
EC4,control,Q14,what_was_the_temperature_in_chicago,46,NA,NA,NA,NA,NA,1
EC5,experiment,Q01,what_day_and_time_was_dinner,Wednesday at 6 PM,0,1,0,0,1,1
EC5,experiment,Q02,what_place_was_dinner,Fresh Fin,0,1,0,0,1,1
